City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,tanout,14.9709,8.8879,32.74,14,7,3.64,NE,1681847057
336,port moresby,-9.4431,147.1797,23.68,94,40,3.6,PG,1681846903
337,ribeira brava,32.65,-17.0667,19.51,52,60,1.35,PT,1681847059
338,ankang,32.68,109.0172,18.69,88,59,1.1,CN,1681847059
339,arias,-33.6441,-62.4027,19.97,29,49,7.28,AR,1681847059
340,la'ie,21.6477,-157.9253,26.98,77,100,6.06,US,1681846864
341,imaricho-ko,33.2667,129.8833,18.79,95,100,2.82,JP,1681847060
342,idri,27.5,13.2667,22.62,30,1,3.92,LY,1681847060
343,rio preto da eva,-2.6994,-59.6997,27.19,92,96,1.64,BR,1681847060
344,ongjin,37.9347,125.3619,10.89,70,53,0.64,KP,1681847060
345,vadso,70.0744,29.7487,4.49,70,20,5.14,NO,1681847060
346,patrocinio,-18.9439,-46.9925,23.57,79,100,2.99,BR,1681847061
347,svyetlahorsk,52.6329,29.7389,9.84,64,100,1.7,BY,1681847061
348,saint-philippe,-21.3585,55.7679,24.77,81,39,5.23,RE,1681847061
349,cide,41.8921,33.0044,12.97,92,100,1.79,TR,1681847062
350,sandnessjoen,66.0217,12.6316,8.69,69,75,0.89,NO,1681847062
351,kuta,-8.7233,115.1723,26.67,88,20,2.68,ID,1681847062
352,lepsy,46.235,78.9456,2.57,35,0,0.53,KZ,1681847062
353,zahedan,29.4963,60.8629,13.95,38,0,3.09,IR,1681847062
354,ulsteinvik,62.3432,5.8487,11.06,69,99,0.89,NO,1681846986
355,palmer,42.1584,-72.3287,13.52,49,75,7.2,US,1681847063
356,novyy urengoy,66.0833,76.6333,-11.5,91,100,5.02,RU,1681847063
357,mpika,-11.8343,31.4529,16.03,97,76,2.57,ZM,1681847063
358,rice lake,45.5061,-91.7382,10.18,41,0,2.06,US,1681847063
359,lohaghat,29.4036,80.0897,15.7,40,11,2.22,IN,1681847063
